Symbol	Short	Long
RUPL	Rupali Polyester	Rupali Polyester Limited
SAIF	Saif Textile	Saif Textile Mills Limited
SAPL	Sanofi-Aventis	Sanofi-Aventis Pakistan Limited
SAPT	Sapphire Tex.	Sapphire Textile Mills Limited
SAZEW	Sazgar Eng	Sazgar Engineering Works Limited
SBLTFC	Samba Bank Ltd.	Samba Bank Ltd.(TF
SCL	Shield Corp.	Shield Corporation Limited
SEARL	The Searle Co.	The Searle Company Limited
SEARL-JUL	SEARL-JUL	The Searle Company Limited.
SEARL-JUN	SEARL-JUN	The Searle Company Limited
SEARL-MAY	SEARL-MAY	The Searle Company Limited
SEPL	Security Paper	Security Papers Limited
SERT	Service Textile	Service Industries Textiles Limited
SFL	Sapphire Fiber	Sapphire Fibres Limited
SGF	Service Global Foot	Service GlobalFootwear Limited
SGPL	S.G.Power	S.G. Power Limited
SHDT	Shadab Textile	Shadab Textile Mills Limited
SHEL	Shell Pakistan	Shell Pakistan Limited
SHEL-JUL	SHEL-JUL	SHEL-JUL
SHEL-JUN	SHEL-JUN	SHEL-JUN
SHEL-MAY	SHEL-MAY	SHEL-MAY
SHEZ	Shezan Inter.	Shezan International Limited
SHFA	Shifa Int.HospXD	Shifa International Hospitals Limited
SIEM	Siemens Pak.	Siemens (Pakistan) Engineering
SILK	Silk Bank Ltd	Silkbank Limited
SILK-JUL	SILK-JUL	SILK-JUL
SILK-JUN	SILK-JUN	SILK-JUN
SILK-MAY	SILK-MAY	SILK-MAY
SITC	Sitara Chemical	Sitara Chemical Industries Limited
SKRS	Sakrand Sugar	Sakrand Sugar Mills Limited
SMBL	Summit Bank	Summit Bank Limited
SMBL-JUL	SMBL-JUL	SMBL-JUL
SMBL-JUN	SMBL-JUN	SMBL-JUN
SMBL-MAY	SMBL-MAY	SMBL-MAY
SMCPL	Safe Mix Con.Lt	Safe Mix Concrete Limited
SMTM	Samin Textile	Samin Textiles Limited
SNBL	Soneri Bank Ltd	Soneri Bank Limited
SNBLTFC3	Soneri Bank(TFC	Soneri Bank(TFC3)
SNGP	Sui North Gas	Sui Northern Gas Pipelines Limited
SNGP-JUL	SNGP-JUL	Sui Northern Gas Pipelines Ltd.
SNGP-JUN	SNGP-JUN	Sui Northern Gas Pipelines
SNGP-MAY	SNGP-MAY	Sui Northern Gas Ltd.
SPEL	Synthetic Prod	Synthetic Products Enterprises Limited
SPL	Sitara Peroxide	Sitara Peroxide Limited
SPWL	Saif Power Ltd.	Saif Power Limited
SRVI	Service Ind.Ltd	Service Industries Limited
SSGC	Sui South Gas	Sui Southern Gas Company Limited
SSGC-JUL	SSGC-JUL	Sui Southern Gas Co. Ltd.
SSGC-JUN	SSGC-JUN	Sui Southern Gas Co. Ltd.
SSGC-MAY	SSGC-MAY	Sui Southern Gas Co. Ltd.
SSML	Saritow Spinning	Saritow Spinning Mills Limited
SSOM	S.S.Oil	S.S.Oil Mills Limited
STCL	Shabbir Tiles	Shabbir Tiles & Ceramics Limited
STJT	Shahtaj Textile	Shahtaj Textile Limited
STML	Shams Textile	Shams Textile Mills Limited
STPL	Siddiqsons Tin	Siddiqsons Tin Plate Limited
SUTM	Sunrays Textile	Sunrays Textile Mills Limited
SYS	Systems Limited	Systems Limited
SYS-JUL	SYS-JUL	SYS-JUL
SYS-JUN	SYS-JUN	SYS-JUN
SYS-MAYB	SYS-MAYB	SYS-MAYB
TATM	Tata Textile	Tata Textile Mills Limited
TELE	Telecard Limited	Telecard Limited
TELE-JUL	TELE-JUL	Telecard Limited
TELE-JUN	TELE-JUN	Telecard Limited
TELE-MAY	TELE-MAY	Telecard Limited
TGL	Tariq Glass Ind.	Tariq Glass Industries Limited
TGL-JUL	TGL-JUL	TGL-JUL
TGL-JUN	TGL-JUN	TGL-JUN
TGL-MAY	TGL-MAY	TGL-MAY
THALL	Thal Limited	Thal Limited
THALL-JUL	THALL-JUL	THALL-JUL
THALL-JUN	THALL-JUN	THALL-JUN
THALL-MAY	THALL-MAY	THALL-MAY
THCCL	Thatta Cement	Thatta Cement Company Limited
TICL	Thal Ind.Corp.	The Thal Industries Corporation Limited
TOMCL	The Organic Meat	The Organic Meat Company Limited
TPL	TPL Corp Ltd	TPL Corp Limited
TPL-JUL	TPL-JUL	TPL Trakker Limited
TPL-JUN	TPL-JUN	TPL Trakker Limited
TPL-MAY	TPL-MAY	TPL Trakker Limited
TPLI	TPL Insurance	TPL Insurance Limited
TPLP	TPL Properties	TPL Properties Limited
TPLP-JUL	TPLP-JUL	TPLP-JUL
TPLP-JUN	TPLP-JUN	TPLP-JUN
TPLP-MAYB	TPLP-MAYB	TPLP-MAYB
TPLT	TPL Trakker Ltd	TPL Trakker Limited
TREET	Treet Corp	Treet Corporation Limited
TREET-JUL	TREET-JUL	Treet Corporation Limited
TREET-JUN	TREET-JUN	Treet Corporation Limited
TREET-MAY	TREET-MAY	Treet Corporation Limited
TRG	TRG Pak Ltd	TRG Pakistan Limited
TRG-JUL	TRG-JUL	TRG Pakistan
